Temperature,Experimental Group,Use Case,Sentence,Objective,Pattern,Accuracy,Min,Max,Precision,Count
UCR26a,control,UC2-Health,4.0,ay,1.0,0.8311603188514709,0.8247527480125427,0.8386523723602295,0.9961700602310887,15
UCR26a,control,UC2-Health,4.0,c,1.0,0.8550043225288391,0.854947030544281,0.8550425171852112,0.9999515794354888,15
UCR26a,control,UC2-Health,5.0,ay,1.0,0.880678403377533,0.8166259527206421,0.9149495363235474,0.9733110630777924,15
UCR26a,control,UC2-Health,5.0,c,1.0,0.9435164630413055,0.9108283519744873,0.9762045741081238,0.9667530773249305,30
UCR26a,control,UC2-Health,5.0,pr,1.0,0.9927911460399628,0.9890785813331604,0.994345486164093,0.9979634941239266,6
UCR26a,control,UC2-Health,6.0,ay,1.0,0.8731323480606079,0.846647322177887,0.8889532685279846,0.9858554941740408,15
UCR26a,control,UC2-Health,6.0,c,1.0,0.9324783325195313,0.9278432130813599,0.9328094124794006,0.9987177328291629,15
UCR26a,control,UC2-Health,8.0,ay,1.0,0.8816765626271565,0.8629510402679443,0.9021072387695312,0.9825316622584044,15
UCR26a,control,UC2-Health,8.0,c,1.0,0.9869948148727417,0.986894965171814,0.987643837928772,0.999736497306791,15
UCR26a,control,UC2-Health,9.0,a,1.0,0.7112957239151001,0.7112957239151001,0.7112957239151001,,1
UCR26a,control,UC2-Health,9.0,ay,1.0,0.8845260262489318,0.8785096406936646,0.8894575834274292,0.997125133737794,15
UCR26a,control,UC2-Health,9.0,c,1.0,0.973278284072876,0.973278284072876,0.973278284072876,1.0,15
UCR26a,control,UC2-Health,9.0,pr,1.0,0.832568883895874,0.832568883895874,0.832568883895874,,1
UCR26a,control,UC2-Mobile,1.0,ay,1.0,0.9581399440765381,0.955052375793457,0.9598549604415894,0.9984279207225886,15
UCR26a,control,UC2-Mobile,1.0,c,1.0,0.9715481281280518,0.9587492942810059,0.9907463788986206,0.9837745166779087,15
UCR26a,control,UC2-Mobile,1.0,ia,2.0,0.7827428579330444,0.7615841627120972,0.8024699687957764,0.9816688830706201,15
UCR26a,control,UC2-Mobile,2.0,c,1.0,0.9948875904083252,0.9948875904083252,0.9948875904083252,1.0,15
UCR26a,control,UC2-Mobile,2.0,i,2.0,0.5547350719571114,0.5059703588485718,0.6140190362930298,0.9573176439218426,8
UCR26a,control,UC2-Mobile,2.0,ia,2.0,0.7930360436439514,0.7930360436439514,0.7930360436439514,1.0,15
UCR26a,control,UC2-Mobile,3.0,c,1.0,0.995016344388326,0.9948875904083252,0.9968189001083374,0.999501337979699,15
UCR26a,control,UC2-Mobile,3.0,i,2.0,0.5634390314420065,0.4472163915634155,0.6282457113265991,0.9397237360904961,9
UCR26a,control,UC2-Mobile,3.0,ia,2.0,0.7930360436439514,0.7930360436439514,0.7930360436439514,1.0,15
UCR26a,control,UC2-Mobile,4.0,ay,1.0,0.9017529447873434,0.90171217918396,0.9023236632347107,0.9998421154969981,15
UCR26a,control,UC2-Mobile,4.0,c,1.0,0.9884764552116394,0.9884764552116394,0.9884764552116394,1.0,15
UCR26a,control,UC2-Mobile,4.0,ia,2.0,0.6332541942596436,0.6240397095680237,0.6695793271064758,0.9851769674939598,15
UCR26a,control,UC2-Mobile,5.0,ay,3.0,0.6926768101178683,0.6661679744720459,0.7888191938400269,0.9682391077121851,13
UCR26a,control,UC2-Mobile,5.0,c,1.0,0.7901911735534668,0.7901911735534668,0.7901911735534668,1.0,3
UCR26a,control,UC2-Mobile,6.0,c,1.0,0.7802996337413788,0.7501022815704346,0.810496985912323,0.9572944950120941,2
UCR26a,control,UC2-Mobile,7.0,ay,3.0,0.7046391725540161,0.6903588771820068,0.714159369468689,0.9869639334948564,5
UCR26a,control,UC2-Mobile,7.0,c,1.0,0.9446330937472257,0.9001748561859131,0.9903532862663269,0.979056664553544,11
UCR26a,control,UC2-Mobile,8.0,ay,1.0,0.9541605949401856,0.9325246810913086,0.9735584259033203,0.9857637419240058,10
UCR26a,control,UC2-Mobile,8.0,c,1.0,0.8295371406956723,0.63319993019104,0.9496246576309204,0.9318086177892219,19
UCR26a,control,UC2-Mobile,8.0,ia,2.0,0.5200693607330322,0.4539229869842529,0.6707419157028198,0.9122576506043147,5
UCR26a,control,UC2-Mobile,9.0,ay,1.0,0.9704432447751363,0.9630168080329895,0.9759066104888916,0.9954499230692848,15
UCR26a,control,UC2-Mobile,9.0,c,1.0,0.9534642828835381,0.746583878993988,0.9900612831115723,0.9185936774219227,18
UCR26a,control,UC2-Mobile,9.0,ia,2.0,0.5112576484680176,0.5112576484680176,0.5112576484680176,1.0,2
UCR26a,control,UC2-Mobile,10.0,ay,1.0,0.9523013313611348,0.9263253808021545,0.9564677476882935,0.9896005508854971,15
UCR26a,control,UC2-Mobile,10.0,c,1.0,0.8330096562703451,0.8219419717788696,0.8679726719856262,0.9830070154222972,15
UCR26a,control,UC2-Mobile,10.0,i,2.0,0.7555966604323614,0.7130792140960693,0.7876105308532715,0.9677832271855163,42
UCR26a,control,UC2-Mobile,10.0,ia,2.0,0.4320811033248901,0.4320811033248901,0.4320811033248901,1.0,7
UCR26a,control,UC3-Health,1.0,ay,2.0,0.9575173391236199,0.8432061672210693,0.9799847602844238,0.9504334727818403,18
UCR26a,control,UC3-Health,1.0,c,1.0,0.5741565823554993,0.4654586315155029,0.5997854471206665,0.9629122596108937,16
UCR26a,control,UC3-Health,1.0,i,2.0,0.6864073872566223,0.6864073872566223,0.6864073872566223,,1
UCR26a,control,UC3-Health,1.0,ia,2.0,0.7518203602387354,0.6215783953666687,0.8510753512382507,0.9536188595837995,26
UCR26a,control,UC3-Health,2.0,c,1.0,0.7990261197090149,0.7704797983169556,0.8597987294197083,0.9818969423249833,15
UCR26a,control,UC3-Health,3.0,c,1.0,0.9908218383789062,0.9908218383789062,0.9908218383789062,1.0,15
UCR26a,control,UC3-Health,3.0,i,2.0,0.6455868916078047,0.6297836303710938,0.6647473573684692,0.987228000329782,11
UCR26a,control,UC3-Health,4.0,ay,1.0,0.9678121010462443,0.9656336903572083,0.9684770107269287,0.9988434481092441,15
UCR26a,control,UC3-Health,4.0,c,1.0,0.990952738126119,0.986461877822876,0.9922925233840942,0.9976601859960167,15
UCR26a,control,UC3-Health,4.0,i,1.0,0.9810345768928528,0.9796604514122009,0.9817216396331787,0.998809972425768,3
UCR26a,control,UC3-Health,5.0,ay,1.0,0.8269065934069016,0.6761932373046875,0.9668412208557129,0.9392846585585138,17
UCR26a,control,UC3-Health,5.0,i,2.0,0.5492395626944165,0.4939037561416626,0.6403381824493408,0.9591288668222677,43
UCR26a,control,UC3-Health,6.0,ay,1.0,0.980409566561381,0.9711964726448059,0.9901701807975769,0.99312268845086,15
UCR26a,control,UC3-Health,6.0,c,1.0,0.9514130396502358,0.7874170541763306,0.9915061593055725,0.9281911882994472,14
UCR26a,control,UC3-Health,6.0,i,2.0,0.8749794125556946,0.7606558799743652,0.9446693658828735,0.9187813824798811,10
UCR26a,control,UC3-Health,7.0,ay,1.0,0.9739474455515543,0.9733874797821045,0.9740335941314697,0.9997726544735446,15
UCR26a,control,UC3-Health,7.0,c,1.0,0.99087895154953,0.99016273021698,0.9937438368797302,0.9985172809766227,15
UCR26a,control,UC3-Health,8.0,c,1.0,0.8337143937746684,0.78556227684021,0.8587297201156616,0.9673792188591835,15
UCR26a,control,UC3-Health,8.0,i,2.0,0.860513428846995,0.7732720971107483,0.9129873514175415,0.9329713455494473,15
UCR26a,control,UC3-Health,9.0,a,3.0,0.8261711438496907,0.6244620084762573,0.8991430997848511,0.9229914194834169,15
UCR26a,control,UC3-Health,10.0,ay,1.0,0.9393354415893554,0.9385331869125366,0.9404393434524536,0.9990992117310638,15
UCR26a,control,UC3-Health,10.0,c,1.0,0.9902091026306152,0.9902091026306152,0.9902091026306152,1.0,15
UCR26a,control,UC3-Health,11.0,ay,1.0,0.9623291492462158,0.9623291492462158,0.9623291492462158,1.0,15
UCR26a,control,UC3-Health,11.0,c,1.0,0.9619648933410645,0.9615269899368286,0.9680955410003662,0.9983040074081471,15
UCR26a,control,UC3-Health,11.0,pr,1.0,0.9011239856481552,0.7971047759056091,0.9119546413421631,0.9669553905247668,12
UCR26a,control,UC3-Health,12.0,ay,1.0,0.963475513458252,0.9592024087905884,0.9747006893157959,0.9959508032034237,15
UCR26a,control,UC3-Health,12.0,c,1.0,0.9811406970024109,0.978260338306427,0.9926621317863464,0.9940370909960478,15
UCR26a,control,UC3-Health,12.0,i,1.0,0.9725457429885864,0.9725457429885864,0.9725457429885864,,1
UCR26a,control,UC3-Health,12.0,pr,1.0,0.9461702108383179,0.9461702108383179,0.9461702108383179,1.0,2
UCR26a,control,UC3-Health,13.0,ay,1.0,0.9624309448095468,0.9527400135993958,0.9701260328292847,0.994117401618489,13
UCR26a,control,UC3-Health,13.0,c,1.0,0.9697603702545166,0.9684027433395386,0.9880790710449219,0.9949308543008447,15
